Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"13/08/2021 16:00:09","12/08/2021","Calorific Value, LDZ(NW)","39.7000","13/08/2021 16:03:54",""
"13/08/2021 16:00:09","11/08/2021","Calorific Value, LDZ(EA)","39.1000","13/08/2021 16:03:54",""
"13/08/2021 16:00:09","10/08/2021","Calorific Value, LDZ(NO)","40.3000","13/08/2021 16:03:54",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(EA)","39.2000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(EM)","39.7000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(NE)","40.1000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(NO)","40.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(NT)","39.1000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(NW)","39.6000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(SC)","39.1000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(SE)","39.1000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(SO)","39.4000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(SW)","39.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(WM)","39.9000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(WN)","40.0000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","13/08/2021","Calorific Value, LDZ(WS)","39.4000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Campbeltown","38.8000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(EA)","39.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(EM)","39.5000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(NE)","40.2000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(NO)","39.9000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(NT)","39.2000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(NW)","39.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(SC)","39.0000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(SE)","39.0000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(SO)","39.4000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(SW)","39.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(WM)","39.8000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(WN)","40.0000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, LDZ(WS)","39.3000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Oban","38.8000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Stornoway","93.0000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Stranraer","38.8000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Thurso","38.8000","13/08/2021 10:33:28",""
"13/08/2021 10:30:21","12/08/2021","Calorific Value, Wick","38.8000","13/08/2021 10:33:28",""
"12/08/2021 16:00:19","11/08/2021","Calorific Value, LDZ(NW)","39.6000","12/08/2021 16:03:20",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(EA)","39.4000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(EM)","39.5000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(NE)","40.2000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(NO)","40.3000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(NT)","39.3000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(NW)","39.6000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(SC)","39.1000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(SE)","39.1000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(SO)","39.4000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(SW)","39.2000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(WM)","40.0000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(WN)","39.9000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","12/08/2021","Calorific Value, LDZ(WS)","39.2000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","11/08/2021","Calorific Value, Campbeltown","38.8000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","11/08/2021","Calorific Value, LDZ(EA)","39.2000","12/08/2021 10:33:37",""
"12/08/2021 10:30:25","11/08/2021","Calorific Value, LDZ(EM)","39.5000","12/08/2021 10:33:37",""
